City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,papao,-17.75,-149.55,27.31,77,82,5.96,PF,1738792930
352,san antonio de pale,-1.4014,5.6325,27.44,79,100,3.07,GQ,1738792932
353,propria,-10.2111,-36.8403,26.18,73,100,3.77,BR,1738792933
354,clayton le moors,53.7667,-2.3833,2.57,97,0,0.89,GB,1738792935
355,sandnessjoen,66.0217,12.6316,5.23,70,20,6.17,NO,1738792936
356,st. john's,47.5649,-52.7093,-8.25,73,75,10.29,CA,1738792897
357,taoudenni,22.6783,-3.9836,17.47,16,0,6.15,ML,1738792938
358,xinyuan,37.3,99.0,-12.94,41,100,2.72,CN,1738792941
359,leesville,31.1435,-93.261,24.24,79,95,2.5,US,1738792942
360,uliastay,47.7417,96.8444,-25.73,90,15,2.78,MN,1738792943
